Type,Name,X,Y,Population
c,_1,-34.329725,-96.502914,0
c,_3,-140.166528,-133.996669,0
c,_2,52.839301,115.170691,0
c,Lakeview,59.167361,-190,2000
c,Burns,152.506245,-71.665279,3000
c,Reedsport,-183.830142,-28.001665,4000
c,Astoria,-133.996669,190,9500
c,Newport,-165.162365,52.997502,10000
c,Lincoln City,-152.664446,102.672773,10000
c,The Dalles,15.503747,121.498751,13000
c,Pendleton,171.174022,127.668609,16000
c,Klamath Falls,-34.329725,-183.830142,20000
c,Coos Bay,-190,-65.49542,25000
c,Corvallis,-109.000833,46.669442,55000
c,Medford,-109.000833,-165.004163,75000
c,Bend,9.333888,-15.661948,80000
c,Salem,-102.830974,77.835137,150000
c,Eugene,-115.328893,-9.333888,150000
c,Portland,-71.665279,121.498751,1500000
r,Astoria,Portland,,
r,Portland,Salem,,
r,Salem,Corvallis,,
r,Salem,Eugene,,
r,Eugene,_3,,
r,Coos Bay,_3,,
r,Corvallis,Newport,,
r,Eugene,Reedsport,,
r,Coos Bay,Reedsport,,
r,Reedsport,Lincoln City,,
r,Astoria,Lincoln City,,
r,Portland,Lincoln City,,
r,Salem,Lincoln City,,
r,_1,Klamath Falls,,
r,Salem,Bend,,
r,Bend,_1,,
r,Bend,_2,,
r,The Dalles,_2,,
r,Portland,The Dalles,,
r,The Dalles,Pendleton,,
r,Bend,Burns,,
r,Klamath Falls,Lakeview,,
r,_3,Medford,,
